time,bidID,Bid Type,if general: Aggregate $,"if general, max % per asset","if specified, bid %","if specified, loan or MO",Loan # if applicable,MO if applicable,order type,"if competitive, bid rate",order timing,Funds available,"If auto, date/time order placed"
3:00:00 PM,1104134,Specified,,,20%,Loan,1,,Competitive,3.000%,Auto," $187,500.00 ",12/15/11 12:53 PM
3:00:00 PM,1104143,Specified,,,20%,MO,,ABC Mortgage,Competitive,3.125%,Auto," $500,000.00 ",12/20/11 8:43 AM
3:00:00 PM,1104154,Specified,,,20%,Loan,2,,Competitive,3.000%,Auto," $185,000.00 ",1/5/12 9:16 AM
3:00:00 PM,1104152,Specified,,,20%,MO,,Prime Lending,Competitive,3.000%,Auto," $1,500,000.00 ",1/5/12 9:15 AM
5:06:12 PM,1104136,Specified,,,20%,Loan,4,,Competitive,6.000%,Day Trade," $860,000.00 ",
6:32:36 PM,1104138,Specified,,,20%,MO,,Best Loans Inc,Competitive,2.125%,Day Trade," $300,000.00 ",
7:15:48 PM,1104139,Specified,,,20%,Loan,1,,Competitive,2.250%,Day Trade," $250,000.00 ",
7:59:00 PM,1104140,Specified,,,20%,Loan,5,,Competitive,2.500%,Day Trade," $74,000.00 ",
8:42:12 PM,1104141,Specified,,,20%,Loan,5,,Competitive,2.500%,Day Trade," $285,000.00 ",
9:39:48 PM,1104159,Specified,,,20%,Loan,1,,Competitive,3.500%,Day Trade," $532,000.00 ",
11:06:12 PM,1104161,Specified,,,20%,Loan,4,,Competitive,3.750%,Day Trade," $292,000.00 ",
11:35:00 PM,1104145,Specified,,,10%,Loan,1,,Competitive,1.500%,Day Trade," $752,000.00 ",
2:23:00 AM,1104133,Specified,,,20%,Loan,4,,Competitive,4.000%,Day Trade," $418,000.00 ",
2:27:48 AM,1104149,Specified,,,20%,Loan,5,,Competitive,3.625%,Day Trade," $47,000.00 ",
3:54:12 AM,1104151,Specified,,,20%,Loan,1,,Competitive,3.500%,Day Trade," $283,000.00 ",
4:37:24 AM,1104131,Specified,,,20%,MO,4,,Competitive,3.375%,Day Trade," $598,000.00 ",
6:47:00 AM,1104155,Specified,,,20%,MO,,Best Loans Inc,Competitive,2.125%,Day Trade," $639,000.00 ",
7:30:12 AM,1104156,Specified,,,20%,Loan,2,,Competitive,2.875%,Day Trade," $274,000.00 ",
8:13:24 AM,1104157,Specified,,,20%,Loan,,Best Loans Inc,Competitive,2.500%,Day Trade," $629,000.00 ",
8:56:36 AM,1104158,Specified,,,20%,Loan,1,,Competitive,2.250%,Day Trade," $562,000.00 ",
